prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
118,1251,0,0.0,-0.25086799083713474,0.7781250844202875,1
305,3971,0,0.0,-0.14201265682156086,0.8676102752279823,1
307,3854,0,0.0,-0.2129424515202213,0.8082026467118716,1
338,1570,0,0.0,-0.18908960579854636,0.8277123355469075,1
350,1763,0,0.0,-0.12914278606472562,0.8788484692718194,1
44,3302,0,0.0,-0.2000773440222889,0.8186674315971677,1
299,1659,0,0.0,-0.15867766230973004,0.8532713561638895,1
168,2077,0,0.0,-0.1225408815201574,0.884669737560491,1
197,1066,0,0.0,-0.17658310781786973,0.8381291211783091,1
86,3241,0,0.0,-0.19581155214419013,0.8221671557180715,1
523,2675,0,0.0,-0.3075056028568552,0.7352787478746867,1
269,1628,0,0.0,-0.3082153019038971,0.7347571063741425,1
278,2674,0,0.0,-0.18203432227635313,0.8335727298111546,1
225,862,81,1.0,-0.09031635469064264,0.9136421045822699,0
122,840,54,1.0,-0.40319528323208736,0.6681816019191534,0
77,1961,0,0.0,-0.21746779050746107,0.8045535187630495,1
211,1810,0,0.0,-0.19585614802144494,0.8221304912700599,1
239,2671,0,0.0,-0.11899158534007348,0.887815271394105,1
28,979,0,0.0,-0.20455718861350936,0.8150081313996924,1
129,471,0,0.0,-0.2605915305780935,0.7705956200854039,1
67,406,33,3.0,-0.20648417741182076,0.8134391320675332,0
153,673,65,1.0,-0.26696767485888784,0.7656978223554907,0
569,1086,0,0.0,-0.24044299826785215,0.786279463462122,1
67,970,0,0.0,-0.2600859172233224,0.7709853420380567,1
100,953,175,11.0,-0.19649662642053708,0.821604103037307,0
39,2930,0,0.0,-0.08583267357098644,0.9177477818323241,1
234,1830,0,0.0,-0.22376619720030225,0.7995020383341052,1
37,2318,432,2.0,-0.06274293729578341,0.9391848720635164,0
344,1474,0,0.0,-0.18315157634117948,0.8326419373530957,1
371,701,78,3.0,-0.29654271855078956,0.7433838703041838,0
100,407,51,1.0,-0.273522804043101,0.7606949892367514,0
43,2626,0,0.0,-0.10011848803919011,0.904730211975954,1
24,1108,0,0.0,-0.12536381052097265,0.882175899322432,1
439,1249,0,0.0,-0.29736039199086206,0.7427762734993953,1
471,2512,0,0.0,-0.25773977340618975,0.7727963080940982,1
30,1334,0,0.0,-0.20963698295790248,0.810878555281946,1
375,782,0,0.0,-0.19595699841162645,0.8220475832699575,1
217,729,0,0.0,-0.5079638567529507,0.6017195194663371,1
516,1980,0,0.0,-0.23459163806220537,0.7908937545994164,1
562,695,0,0.0,-0.4609148061260954,0.6307064074314324,1
42,771,0,0.0,-0.3099722941160389,0.7334672773020554,1
247,1153,0,0.0,-0.19227518446611686,0.8250797881076241,1
48,3056,0,0.0,-0.2011178182434622,0.8178160722244228,1
478,690,0,0.0,-0.48072350070089925,0.618335863501507,1
555,2544,0,0.0,-0.2735981041467113,0.7606377109818023,1
334,1578,0,0.0,-0.34137153888859484,0.710794771241545,1
363,1148,0,0.0,-0.2980311895966162,0.7422781880294682,1
481,1028,0,0.0,-0.3467472147740409,0.7069840207868263,1
255,1289,0,0.0,-0.40164702252078044,0.6692169225077036,1
410,1221,0,0.0,-0.28219856714274016,0.7541239254318176,1
356,1695,0,0.0,-0.26520610113590726,0.7670478442515353,1
182,479,0,0.0,-0.3334447572213302,0.7164514763170978,1
592,785,0,0.0,-0.07023814335502382,0.932171802950453,1
443,2799,0,0.0,-0.2939564885932456,0.7453089201773572,1
154,320,40,1.0,-0.14423262151338628,0.8656863473668039,0
45,71,9,1.0,-0.24408863540999223,0.7834181925927167,0
124,1563,0,0.0,-0.2178000033969739,0.8042862801063345,1
75,113,30,2.0,-0.1348817714045286,0.8738192159997559,0
49,469,0,0.0,-0.1742022177958159,0.8401269918515238,1
421,1947,0,0.0,-0.18721873507449732,0.829262327788869,1
62,691,87,1.0,-0.08037361755305142,0.9227715183370343,0
289,2298,0,0.0,-0.1640785508990442,0.8486753550497355,1
201,859,0,0.0,-0.3403120696761101,0.7115482354836754,1
293,1085,0,0.0,-0.42181528901628806,0.6558551718598156,1
457,1660,0,0.0,-0.16080062168785134,0.8514618172047169,1
150,926,0,0.0,-0.6214949890074801,0.537140817425169,1
144,185,39,1.0,-0.12893844878630034,0.8790280691250263,0
195,3845,0,0.0,-0.16448768579822068,0.848328203364691,1
