prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
97,53,15,1.0,-0.10461021680939468,0.473871269325529,0
92,60,13,1.0,-0.09218399615397427,0.4769703073001265,0
64,1002,0,0.0,-0.19453698190712068,0.45151855506298255,1
65,1023,0,0.0,-0.06680087522703379,0.4833059886180437,1
56,80,20,3.0,-0.0889805278093263,0.4777695336525591,1
82,105,18,1.0,-0.10471310182387425,0.4738456183815745,1
51,61,10,1.0,-0.06592466610673758,0.4835247998940347,0
99,70,24,3.0,-0.09834685938171665,0.47543308311278615,1
90,62,20,1.0,-0.0341882187263419,0.4914537777286758,0
65,254,56,5.0,-0.07639688869165369,0.48091006176824275,0
52,72,25,2.0,-0.048771030968518814,0.4878096585046154,0
82,153,37,3.0,-0.03182441375163913,0.49204456798478413,0
87,136,32,2.0,-0.07496983342070962,0.4812663151750411,0
78,65,11,1.0,-0.040107084683925334,0.4899745726833447,1
86,207,45,3.0,-0.06725357514221943,0.4831929406584706,1
69,110,29,3.0,-0.1327350050095788,0.4668648839467249,1
68,89,30,2.0,-0.12196298570079954,0.4695469931828013,0
54,171,59,3.0,-0.03194304950251017,0.49201491658341207,0
74,104,22,2.0,-0.04703047188134255,0.48824454873933765,1
93,187,59,4.0,-0.05944619880936528,0.48514282529291,1
147,351,85,5.0,-0.15828120760196074,0.4605121043559434,1
75,474,125,5.0,-0.018668432881253985,0.49533302731960344,0
69,62,15,1.0,-0.04751265586159671,0.4881240700628265,1
69,256,76,3.0,-0.05437413613585999,0.48640981413596346,1
53,50,17,1.0,-0.052509987657939516,0.486875518623339,1
90,821,0,0.0,-0.22092351153485132,0.4449926698051649,1
68,95,23,1.0,-0.06562266314245614,0.4836002190364495,1
83,351,94,10.0,-0.05816950139909623,0.4854617238384457,0
146,417,97,6.0,-0.10362039935540372,0.47411805429256215,1
101,762,0,0.0,-0.11038472874680472,0.4724318048487624,1
62,88,24,1.0,-0.0204742886777467,0.49488160663036174,0
78,147,38,3.0,-0.09724721618629482,0.47570733762154577,1
94,96,21,1.0,-0.08125242777036412,0.4796980612058823,1
66,92,21,1.0,-0.06974858572922837,0.4825699192442781,1
61,197,61,2.0,-0.075961312809667,0.48101879790611,1
99,73,20,1.0,-0.07147957458470733,0.48213771106636927,0
90,525,104,4.0,-0.11115218465688867,0.47224052819816487,1
62,114,22,1.0,-0.189220261515023,0.452835574848513,1
95,99,17,1.0,-0.1792861195309115,0.45529814557079706,1
76,59,13,1.0,-0.06522856894617862,0.48369863722758405,1
70,54,16,1.0,-0.09316272727540802,0.4767261491289934,0
54,63,12,1.0,-0.06044317248117679,0.4848938056517368,0
106,48,19,1.0,-0.02953595541205025,0.4926165478993304,1
64,586,161,4.0,-0.027665658247736934,0.4930840265497352,0
56,922,0,0.0,-0.13004476553593616,0.46753454939562317,1
86,164,34,1.0,-0.12973696132232143,0.4676111767868306,1
92,249,32,1.0,-0.12432792798428785,0.4689579935194477,1
90,47,15,1.0,-0.04099394178724503,0.4897529495298106,0
50,833,0,0.0,-0.08517485871474936,0.4787191493818463,1
125,718,0,0.0,-0.04668543903161129,0.4883307596202795,1
